handle,threshold,ari,f1,am,hm,hm2,time
ru_train_rubert_Labse_0.0_Cluster_Cosine-5-Mean_NonGreedy,0,0.307219666,0.732730197,0.519974932,0.433,0.348,
ru_train_rubert_Labse_0.1_Cluster_Cosine-5-Mean_NonGreedy,0.1,0.307219666,0.732730197,0.519974932,0.433,0.348,
ru_train_rubert_Labse_0.2_Cluster_Cosine-5-Mean_NonGreedy,0.2,0.307219666,0.732730197,0.519974932,0.433,0.348,
ru_train_rubert_Labse_0.3_Cluster_Cosine-5-Mean_NonGreedy,0.3,0.305596289,0.731521449,0.518558869,0.431,0.346,
ru_train_parallel_Labse_0.0_Cluster_Cosine-5-Mean_NonGreedy,0,0.299941897,0.7524397,0.526190799,0.429,0.341,
ru_train_parallel_Labse_0.1_Cluster_Cosine-5-Mean_NonGreedy,0.1,0.300460823,0.749746098,0.52510346,0.429,0.341,
ru_train_rubert_Labse_0.4_Cluster_Cosine-5-Mean_NonGreedy,0.4,0.28857363,0.70631602,0.497444825,0.41,0.327,
ru_train_parallel_Labse_0.2_Cluster_Cosine-5-Mean_NonGreedy,0.2,0.283481211,0.723477937,0.503479574,0.407,0.323,
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0,0.277,0.679,0.478,0.393,0.314,433.149
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.1,0.238,0.624,0.431,0.345,0.272,428.842
ru_train_parallel_Labse_0.3_Cluster_Cosine-5-Mean_NonGreedy,0.3,0.234788026,0.617485973,0.426136999,0.34,0.268,
ru_train_rubert_Labse_0.5_Cluster_Cosine-5-Mean_NonGreedy,0.5,0.226649354,0.57356871,0.400109032,0.325,0.258,
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.2,0.162,0.491,0.3265,0.244,0.187,432.811
ru_train_parallel_Labse_0.4_Cluster_Cosine-5-Mean_NonGreedy,0.4,0.15660282,0.394921481,0.27576215,0.224,0.178,
ru_train_rubert_Labse_0.6_Cluster_Cosine-5-Mean_NonGreedy,0.6,0.168796376,0.324282209,0.246539292,0.222,0.187,
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,0,0.097,0.456,0.2765,0.16,0.115,454.776
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0,0.097,0.449,0.273,0.16,0.115,426.369
